algorithm,structure,dataset,size,time
heap,array,sorted,50,2.4600012693554163e-05
heap,linked,sorted,50,1.8600025214254856e-05
quick,array,sorted,50,7.770000956952572e-05
quick,linked,sorted,50,0.00010619999375194311
counting,array,sorted,50,2.8300040867179632e-05
counting,linked,sorted,50,6.019999273121357e-05
counting,array,half,20,0.03540600003907457
counting,linked,half,20,0.03559799998765811
radix,array,sorted,50,5.959998816251755e-05
radix,linked,sorted,50,7.71000050008297e-05
bubble,array,reverse,50,0.00027279998175799847
bubble,linked,reverse,50,0.00028029998065903783
selection,array,reverse,50,0.00012149999383836985
selection,linked,reverse,50,0.00011849997099488974
shell,array,reverse,50,5.859998054802418e-05
shell,linked,reverse,50,9.950000094249845e-05
insertion,array,reverse,50,0.00024369999300688505
insertion,linked,reverse,50,0.0001971000456251204
quick,array,reverse,50,7.35999783501029e-05
quick,linked,reverse,50,6.130000110715628e-05
heap,array,reverse,50,2.139998832717538e-05
heap,linked,reverse,50,1.7700018361210823e-05
counting,array,reverse,50,2.789997961372137e-05
counting,linked,reverse,50,2.2799998987466097e-05
radix,array,reverse,50,0.0001126999850384891
radix,linked,reverse,50,5.520001286640763e-05
bubble,array,almost,50,0.00013010000111535192
bubble,linked,almost,50,0.00013699999544769526
selection,array,almost,50,0.00010859995381906629
selection,linked,almost,50,0.0001496000331826508
shell,array,almost,50,4.1700026486068964e-05
shell,linked,almost,50,3.980001201853156e-05
insertion,array,almost,50,2.6600027922540903e-05
insertion,linked,almost,50,5.45999500900507e-05
merge,array,reverse,50,0.0004529000143520534
merge,linked,reverse,50,0.0009548999951221049
merge,array,almost,50,0.0001221999991685152
merge,linked,almost,50,9.869999485090375e-05
quick,array,almost,50,0.00018470000941306353
quick,linked,almost,50,6.610003765672445e-05
heap,array,almost,50,2.6600027922540903e-05
heap,linked,almost,50,1.969997538253665e-05
counting,array,almost,50,2.7900037821382284e-05
counting,linked,almost,50,2.4099950678646564e-05
radix,array,almost,50,6.230000872164965e-05
radix,linked,almost,50,6.689998554065824e-05
bubble,array,half,50,0.00018430000636726618
bubble,linked,half,50,0.0001404000213369727
insertion,array,half,50,3.1800009310245514e-05
insertion,linked,half,50,3.0499999411404133e-05
selection,array,half,50,0.00012089998926967382
selection,linked,half,50,0.0001113000325858593
shell,array,half,50,5.259999306872487e-05
shell,linked,half,50,5.299999611452222e-05
heap,array,half,50,2.529995981603861e-05
heap,linked,half,50,2.0200037397444248e-05
quick,array,half,50,9.609997505322099e-05
quick,linked,half,50,0.00010260002454742789
merge,array,half,50,0.0002673999988473952
merge,linked,half,50,0.00011379999341443181
radix,array,half,50,0.0002573999809101224
radix,linked,half,50,0.00022470002295449376
bubble,array,flat,50,0.00024359999224543571
bubble,linked,flat,50,0.0002623000182211399
selection,array,flat,50,0.0001303000026382506
selection,linked,flat,50,0.0006040000007487833
insertion,array,flat,50,0.0001037000329233706
insertion,linked,flat,50,0.0001246000174432993
shell,array,flat,50,9.889999637380242e-05
shell,linked,flat,50,5.859998054802418e-05
