algorithm,structure,dataset,size,time
counting,array,half_sorted,50,0.01694499998120591
counting,linked_list,half_sorted,50,0.018509100016672164
radix,array,half_sorted,50,0.00018309999722987413
radix,linked_list,half_sorted,50,0.0001409000251442194
bubble,array,flat,50,0.00011550000635907054
bubble,linked_list,flat,50,0.00014379998901858926
selection,array,flat,50,8.259998867288232e-05
selection,linked_list,flat,50,7.150002056732774e-05
insertion,array,flat,50,5.319999763742089e-05
insertion,linked_list,flat,50,5.229999078437686e-05
shell,array,flat,50,3.509997623041272e-05
shell,linked_list,flat,50,3.2999960239976645e-05
merge,array,flat,50,0.00015619996702298522
merge,linked_list,flat,50,0.0001086000120267272
quick,array,flat,50,3.649998689070344e-05
quick,linked_list,flat,50,3.1800009310245514e-05
heap,array,flat,50,1.750001683831215e-05
heap,linked_list,flat,50,1.969997538253665e-05
counting,array,flat,50,1.0699965059757233e-05
counting,linked_list,flat,50,6.399990525096655e-06
radix,array,flat,50,2.0000035874545574e-05
radix,linked_list,flat,50,2.889998722821474e-05
bubble,array,random,100,0.0005988000193610787
bubble,linked_list,random,100,0.0005878999945707619
selection,array,random,100,0.00027409999165683985
selection,linked_list,random,100,0.00027540000155568123
insertion,array,random,100,0.00031730002956464887
insertion,linked_list,random,100,0.00027710001450031996
shell,array,random,100,0.00010400003520771861
shell,linked_list,random,100,0.00010390003444626927
merge,array,random,100,0.0001813999842852354
merge,linked_list,random,100,0.00019380002049729228
quick,array,random,100,0.00014830002328380942
quick,linked_list,random,100,0.0001314000110141933
heap,array,random,100,3.1800009310245514e-05
heap,linked_list,random,100,3.9000005926936865e-05
counting,array,random,100,0.017425799975171685
counting,linked_list,random,100,0.02260630001546815
radix,array,random,100,0.00034249998861923814
radix,linked_list,random,100,0.00024809996830299497
bubble,array,sorted,100,0.0002992000081576407
bubble,linked_list,sorted,100,0.0003313000197522342
selection,array,sorted,100,0.0002815999905578792
selection,linked_list,sorted,100,0.0002951999776996672
insertion,array,sorted,100,1.3299984857439995e-05
insertion,linked_list,sorted,100,1.1800031643360853e-05
shell,array,sorted,100,5.339999916031957e-05
shell,linked_list,sorted,100,5.180004518479109e-05
merge,array,sorted,100,0.00013589998707175255
merge,linked_list,sorted,100,0.00015129998791962862
quick,array,sorted,100,0.00013200001558288932
quick,linked_list,sorted,100,0.00016529997810721397
heap,array,sorted,100,5.600001895800233e-05
heap,linked_list,sorted,100,4.350004019215703e-05
counting,array,sorted,100,3.0499999411404133e-05
counting,linked_list,sorted,100,2.6999972760677338e-05
radix,array,sorted,100,6.40999642200768e-05
radix,linked_list,sorted,100,6.150000263005495e-05
bubble,array,reverse,100,0.0007384000346064568
bubble,linked_list,reverse,100,0.000665700004901737
selection,array,reverse,100,0.0002901999978348613
selection,linked_list,reverse,100,0.00026490003801882267
insertion,array,reverse,100,0.0005280000041238964
insertion,linked_list,reverse,100,0.0006975999567657709
shell,array,reverse,100,0.00017680000746622682
shell,linked_list,reverse,100,0.0001256999676115811
merge,array,reverse,100,0.00018099998123943806
merge,linked_list,reverse,100,0.00013729999773204327
quick,array,reverse,100,9.650003630667925e-05
quick,linked_list,reverse,100,9.039998985826969e-05
heap,array,reverse,100,2.8800044674426317e-05
heap,linked_list,reverse,100,2.2199994418770075e-05
counting,array,reverse,100,2.8199981898069382e-05
counting,linked_list,reverse,100,2.6500027161091566e-05
radix,array,reverse,100,9.380001574754715e-05
radix,linked_list,reverse,100,0.00011520000407472253
bubble,array,almost_sorted,100,0.0003282000543549657
bubble,linked_list,almost_sorted,100,0.0003082000184804201
selection,array,almost_sorted,100,0.00026840000646188855
selection,linked_list,almost_sorted,100,0.00028390000807121396
insertion,array,almost_sorted,100,3.3100019209086895e-05
insertion,linked_list,almost_sorted,100,3.2800016924738884e-05
shell,array,almost_sorted,100,6.78999931551516e-05
shell,linked_list,almost_sorted,100,5.6200020480901e-05
merge,array,almost_sorted,100,0.00013870000839233398
merge,linked_list,almost_sorted,100,0.00013209995813667774
quick,array,almost_sorted,100,0.00010259996633976698
quick,linked_list,almost_sorted,100,0.00011879997327923775
heap,array,almost_sorted,100,2.6999972760677338e-05
heap,linked_list,almost_sorted,100,2.3200002033263445e-05
counting,array,almost_sorted,100,2.829998265951872e-05
counting,linked_list,almost_sorted,100,2.619996666908264e-05
radix,array,almost_sorted,100,6.370001938194036e-05
radix,linked_list,almost_sorted,100,6.0999998822808266e-05
bubble,array,half_sorted,100,0.0003662999952211976
bubble,linked_list,half_sorted,100,0.00036429997999221087
selection,array,half_sorted,100,0.00025670003378763795
selection,linked_list,half_sorted,100,0.00026790000265464187
insertion,array,half_sorted,100,7.149996235966682e-05
insertion,linked_list,half_sorted,100,7.059995550662279e-05
shell,array,half_sorted,100,7.680000271648169e-05
shell,linked_list,half_sorted,100,7.589999586343765e-05
merge,array,half_sorted,100,0.00017259997548535466
merge,linked_list,half_sorted,100,0.00014429999282583594
quick,array,half_sorted,100,0.00012520002201199532
quick,linked_list,half_sorted,100,0.00012539996532723308
heap,array,half_sorted,100,2.7999980375170708e-05
heap,linked_list,half_sorted,100,2.3999949917197227e-05
counting,array,half_sorted,100,0.01819119998253882
counting,linked_list,half_sorted,100,0.016866400022991
radix,array,half_sorted,100,0.0001737999846227467
radix,linked_list,half_sorted,100,0.00016120000509545207
bubble,array,flat,100,0.0005653000553138554
bubble,linked_list,flat,100,0.00047309999354183674
selection,array,flat,100,0.0002558000269345939
selection,linked_list,flat,100,0.00025209999876096845
insertion,array,flat,100,0.00024449999909847975
insertion,linked_list,flat,100,0.00022990000434219837
shell,array,flat,100,7.749994983896613e-05
shell,linked_list,flat,100,7.559999357908964e-05
merge,array,flat,100,0.00017579999985173345
merge,linked_list,flat,100,0.00016200001118704677
quick,array,flat,100,3.850000211969018e-05
quick,linked_list,flat,100,5.2200048230588436e-05
heap,array,flat,100,3.070000093430281e-05
heap,linked_list,flat,100,3.659998765215278e-05
counting,array,flat,100,1.3000040780752897e-05
counting,linked_list,flat,100,1.0300020221620798e-05
radix,array,flat,100,3.559998003765941e-05
radix,linked_list,flat,100,3.370002377778292e-05
bubble,array,random,1000,0.05833520001033321
bubble,linked_list,random,1000,0.06380709999939427
selection,array,random,1000,0.026450300007127225
selection,linked_list,random,1000,0.025324300047941506
insertion,array,random,1000,0.02877440000884235
insertion,linked_list,random,1000,0.028971899999305606
shell,array,random,1000,0.0023105000145733356
shell,linked_list,random,1000,0.0021299999789334834
merge,array,random,1000,0.0024471000069752336
merge,linked_list,random,1000,0.00249660003464669
quick,array,random,1000,0.002085499989334494
quick,linked_list,random,1000,0.002156200003810227
heap,array,random,1000,0.00034119997872039676
heap,linked_list,random,1000,0.00029129994800314307
counting,array,random,1000,0.018190399976447225
counting,linked_list,random,1000,0.018681200046557933
radix,array,random,1000,0.0017442000098526478
radix,linked_list,random,1000,0.0017712999833747745
bubble,array,sorted,1000,0.0375349999521859
bubble,linked_list,sorted,1000,0.03485880000516772
selection,array,sorted,1000,0.026955900015309453
selection,linked_list,sorted,1000,0.0277137000230141
insertion,array,sorted,1000,0.0001398000167682767
insertion,linked_list,sorted,1000,0.00013599998783320189
shell,array,sorted,1000,0.0009735000203363597
shell,linked_list,sorted,1000,0.0009655000176280737
merge,array,sorted,1000,0.0020251000532880425
merge,linked_list,sorted,1000,0.001901899988297373
